Date	Price	Open	High	Low	Change
1/2/2017	1.0459	1.0529	1.0534	1.0446	-0.54%
1/3/2017	1.0406	1.0453	1.0492	1.0339	-0.51%
1/4/2017	1.0488	1.0403	1.0501	1.0387	0.79%
1/5/2017	1.0607	1.0489	1.0619	1.0478	1.13%
1/6/2017	1.0533	1.0603	1.0624	1.052	-0.70%
1/9/2017	1.0574	1.0537	1.0584	1.0508	0.39%
1/10/2017	1.0554	1.0571	1.0628	1.0549	-0.19%
1/11/2017	1.0582	1.0554	1.0624	1.0452	0.27%
1/12/2017	1.0613	1.058	1.0687	1.057	0.29%
1/13/2017	1.0644	1.0609	1.0674	1.0595	0.29%
1/16/2017	1.0603	1.0615	1.0638	1.0577	-0.39%
1/17/2017	1.0714	1.0598	1.0719	1.0593	1.05%
1/18/2017	1.0631	1.0712	1.0716	1.0624	-0.77%
1/19/2017	1.0664	1.0628	1.0677	1.0587	0.31%
1/20/2017	1.0703	1.0663	1.0713	1.0623	0.37%
1/23/2017	1.0765	1.0683	1.0773	1.0682	0.58%
1/24/2017	1.0731	1.0762	1.0775	1.0717	-0.32%
1/25/2017	1.0748	1.073	1.0773	1.0709	0.16%
1/26/2017	1.0682	1.0744	1.0767	1.0655	-0.61%
1/27/2017	1.0699	1.068	1.0729	1.0656	0.16%
1/30/2017	1.0695	1.0689	1.0742	1.0617	-0.04%
1/31/2017	1.0798	1.0692	1.0814	1.0681	0.96%
2/1/2017	1.0769	1.0796	1.081	1.0729	-0.27%
2/2/2017	1.0758	1.0766	1.0829	1.0752	-0.10%
2/3/2017	1.0784	1.0756	1.08	1.0711	0.24%
2/6/2017	1.075	1.078	1.0801	1.0702	-0.32%
2/7/2017	1.0681	1.0749	1.0751	1.0653	-0.64%
2/8/2017	1.0698	1.0681	1.0715	1.0638	0.16%
2/9/2017	1.0656	1.0697	1.0711	1.0648	-0.39%
2/10/2017	1.0641	1.0655	1.067	1.0606	-0.14%
2/13/2017	1.0598	1.0632	1.0658	1.059	-0.40%
2/14/2017	1.0577	1.0596	1.0634	1.0559	-0.20%
2/15/2017	1.0601	1.0574	1.0611	1.052	0.23%
2/16/2017	1.0674	1.0598	1.0682	1.0586	0.69%
2/17/2017	1.0614	1.0672	1.0679	1.0602	-0.56%
2/20/2017	1.0614	1.0614	1.0637	1.0601	0.00%
2/21/2017	1.0537	1.0609	1.0618	1.0524	-0.73%
2/22/2017	1.0556	1.0533	1.0574	1.0492	0.18%
2/23/2017	1.0581	1.0555	1.0597	1.0536	0.24%
2/24/2017	1.0563	1.058	1.062	1.0554	-0.17%
2/27/2017	1.0588	1.056	1.0633	1.0549	0.24%
2/28/2017	1.0577	1.0585	1.0632	1.0568	-0.10%
3/1/2017	1.0548	1.0573	1.059	1.0513	-0.27%
3/2/2017	1.0507	1.0546	1.0552	1.0492	-0.39%
3/3/2017	1.0623	1.0505	1.0626	1.0499	1.10%
3/6/2017	1.0581	1.0614	1.0643	1.0572	-0.40%
3/7/2017	1.0566	1.0582	1.0603	1.0556	-0.14%
3/8/2017	1.0541	1.0564	1.0576	1.0533	-0.24%
3/9/2017	1.0577	1.0539	1.0617	1.0523	0.34%
3/10/2017	1.0672	1.0574	1.0702	1.0569	0.90%
3/13/2017	1.0654	1.0671	1.0715	1.0649	-0.17%
3/14/2017	1.0604	1.0653	1.0664	1.0597	-0.47%
3/15/2017	1.0735	1.0602	1.0742	1.0601	1.24%
3/16/2017	1.0766	1.0732	1.0772	1.0704	0.29%
3/17/2017	1.0738	1.0763	1.0784	1.0726	-0.26%
3/20/2017	1.0739	1.0738	1.0779	1.0723	0.01%
3/21/2017	1.0811	1.0737	1.0822	1.0717	0.67%
3/22/2017	1.0797	1.0808	1.0827	1.0774	-0.13%
3/23/2017	1.0783	1.0794	1.0807	1.0766	-0.13%
3/24/2017	1.0799	1.0782	1.082	1.0759	0.15%
3/27/2017	1.0865	1.0796	1.0905	1.0794	0.61%
3/28/2017	1.0813	1.0863	1.0873	1.0796	-0.48%
3/29/2017	1.0767	1.081	1.0827	1.0738	-0.43%
3/30/2017	1.0675	1.0764	1.0772	1.0669	-0.85%
3/31/2017	1.0652	1.0672	1.0705	1.0649	-0.22%
4/3/2017	1.0671	1.0658	1.0683	1.0641	0.18%
4/4/2017	1.0674	1.0667	1.0678	1.0634	0.03%
4/5/2017	1.0663	1.0671	1.069	1.0632	-0.10%
4/6/2017	1.0644	1.0661	1.0687	1.0627	-0.18%
4/7/2017	1.059	1.0642	1.0668	1.0578	-0.51%
