Pair	Bid	Ask	Open	High	Low	Change	Percent	Unique	X	Y	Previous	BidP	AskP	OpenP	HighP	LowP
EUR/USD	1.059	1.0591	1.0644	1.0663	1.0581	-0.0053	-0.50%	1	500	200	1.0643	-0.00005300	-0.00005200	0.00000100	0.00002000	-0.00006200
USD/JPY	111.09	111.11	110.81	111.37	110.13	0.29	0.26%	2	800	200	110.8	0.00290000	0.00310000	0.00010000	0.00570000	-0.00670000
GBP/USD	1.2366	1.2367	1.2469	1.2477	1.2367	-0.0102	-0.82%	3	500	400	1.2468	-0.00010200	-0.00010100	0.00000100	0.00000900	-0.00010100
USD/CHF	1.0088	1.009	1.005	1.0097	1.003	0.0039	0.39%	4	800	400	1.0049	0.00003900	0.00004100	0.00000100	0.00004800	-0.00001900
USD/CAD	1.3408	1.3409	1.3413	1.3432	1.3343	-0.0004	-0.03%	5	200	200	1.3412	-0.00000400	-0.00000300	0.00000100	0.00002000	-0.00006900
AUD/USD	0.7495	0.7497	0.7546	0.7547	0.7494	-0.005	-0.66%	6	200	400	0.7545	-0.00005000	-0.00004800	0.00000100	0.00000200	-0.00005100
NZD/USD	0.6934	0.6936	0.6969	0.6995	0.6931	-0.0034	-0.49%	7	500	600	0.6968	-0.00003400	-0.00003200	0.00000100	0.00002700	-0.00003700
USD/CNY	6.9035	6.905	6.8943	6.9062	6.8922	0.0099	0.14%	0	800	600	6.8936	0.00009900	0.00011400	0.00000700	0.00012600	-0.00001400
USD/SGD	1.4042	1.4067	1.4025	1.4064	1.3985	0.003	0.21%	0	200	600	1.4012	0.00003000	0.00005500	0.00001300	0.00005200	-0.00002700
USD/HKD	7.7674	7.7704	7.77	7.7707	7.7685	-0.0011	-0.01%	0	300	500	7.7685	-0.00001100	0.00001900	0.00001500	0.00002200	0.00000000
USD/DKK	7.0191	7.0254	6.986	7.0275	6.9755	0.0362	0.52%	0	900	100	6.9829	0.00036200	0.00042500	0.00003100	0.00044600	-0.00007400
USD/SEK	9.0667	9.0762	9.0248	9.091	9.0028	0.0467	0.52%	0	300	300	9.02	0.00046700	0.00056200	0.00004800	0.00071000	-0.00017200
USD/RUB	57.248	57.248	56.3955	57.255	56.3955	0.8525	1.51%	0	300	500	56.3955	0.00852500	0.00852500	0.00000000	0.00859500	0.00000000
USD/TRY	3.7332	3.7376	3.7118	3.748	3.7072	0.0236	0.64%	0	200	500	3.7096	0.00023600	0.00028000	0.00002200	0.00038400	-0.00002400
USD/MXN	18.6543	18.6722	18.7602	18.8792	18.6162	-0.097	-0.52%	0	700	200	18.7513	-0.00097000	-0.00079100	0.00008900	0.00127900	-0.00135100
USD/ZAR	13.7647	13.7933	13.757	13.8431	13.7077	0.022	0.16%	0	800	700	13.7427	0.00022000	0.00050600	0.00014300	0.00100400	-0.00035000
BTC/USD	1184.46	1185.35	1195.00	1193.78	1181.68	-6.81	-0.57%	0	600	600	1191.27	-0.06810000	-0.05920000	0.03730000	0.02510000	-0.09590000
