Date	Price	Open	High	Low	Change
1/1/2007	1.3211	1.3205	1.3217	1.3201	0.10%
1/2/2007	1.3273	1.3213	1.3296	1.321	0.47%
1/3/2007	1.3169	1.3271	1.3289	1.3146	-0.78%
1/4/2007	1.3088	1.3168	1.3179	1.3075	-0.62%
1/5/2007	1.3001	1.3089	1.3104	1.298	-0.66%
1/8/2007	1.3037	1.3005	1.3039	1.2971	0.28%
1/9/2007	1.2993	1.3036	1.3051	1.2985	-0.34%
1/10/2007	1.2936	1.2992	1.3	1.2929	-0.44%
1/11/2007	1.2892	1.2935	1.3014	1.2881	-0.34%
1/12/2007	1.2922	1.289	1.2944	1.2865	0.23%
1/15/2007	1.2934	1.2925	1.2955	1.2914	0.09%
1/16/2007	1.2916	1.2933	1.2988	1.2907	-0.14%
1/17/2007	1.2936	1.2915	1.2949	1.2896	0.15%
1/18/2007	1.2958	1.2935	1.2975	1.2895	0.17%
1/19/2007	1.296	1.2957	1.2999	1.2912	0.02%
1/22/2007	1.2948	1.2959	1.2978	1.2921	-0.09%
1/23/2007	1.3017	1.2947	1.3042	1.2927	0.53%
1/24/2007	1.296	1.3019	1.3036	1.2946	-0.44%
1/25/2007	1.2933	1.2961	1.3	1.2913	-0.21%
1/26/2007	1.2914	1.2932	1.2937	1.2876	-0.15%
1/29/2007	1.2959	1.292	1.2965	1.2896	0.35%
1/30/2007	1.2962	1.296	1.298	1.2942	0.02%
1/31/2007	1.302	1.2965	1.3036	1.2923	0.45%
2/1/2007	1.3014	1.3021	1.3055	1.3001	-0.05%
2/2/2007	1.2959	1.3015	1.3062	1.2949	-0.42%
2/5/2007	1.293	1.2958	1.2964	1.2912	-0.22%
2/6/2007	1.2981	1.2932	1.299	1.2911	0.39%
2/7/2007	1.302	1.2982	1.3024	1.2971	0.30%
2/8/2007	1.3035	1.3019	1.3044	1.2973	0.12%
2/9/2007	1.3006	1.3034	1.3045	1.2982	-0.22%
2/12/2007	1.2957	1.3017	1.3034	1.2939	-0.38%
2/13/2007	1.3029	1.2958	1.3042	1.2953	0.56%
2/14/2007	1.3136	1.3032	1.3149	1.3022	0.82%
2/15/2007	1.3132	1.3135	1.3171	1.3117	-0.03%
2/16/2007	1.3136	1.3131	1.3143	1.3092	0.03%
2/19/2007	1.3152	1.3148	1.316	1.3121	0.12%
2/20/2007	1.3144	1.3153	1.3187	1.3128	-0.06%
2/21/2007	1.3135	1.3143	1.3164	1.311	-0.07%
2/22/2007	1.3121	1.3136	1.314	1.3079	-0.11%
2/23/2007	1.3167	1.3122	1.3185	1.3101	0.35%
