Exchange	Daily Average
Japan	44190000000
Shanghai	40140000000
Shenzhen	30816000000
Korea	11385000000
Hong Kong	28485000000
Taiwan	6750000000
Taipei	738000000
BSE India	13338000000
NSE India	13050000000
Thailand	3312000000
Phillipine	2142000000
Ho Chi Minh	450000000
Singapore	5751000000
Malaysia	3420000000
Indonesia	3123000000
NASDAQ QMX	11277000000
Osio Bors	1809000000
Moscow	4023000000
London	29448000000
Deutsche	15642000000
Irish	1206000000
Euronext	30411000000
Luxembuorg	441000000
Weiner Borse	864000000
SIX Swiss	13311000000
Budapest	153000000
Ljublijana	54000000
BME Spanish	7497000000
Borsa Italia	5877000000
Malta	36000000
Casablanca	414000000
Nigerian	423000000
Egyptian	477000000
Istanbul	1773000000
Amman	216000000
Athens	243000000
Cyprus	27000000
Tei Aviv	2133000000
Saudi	3978000000
Qatar	1314000000
Abu Dhabi	990000000
Dubai	783000000
Muscat	342000000
Johannesburg	7110000000
Australia	10251000000
NZX	612000000
TMX	15273000000
NASDAQ US	67041000000
NYSE	1.66374E+11
Bolsa Mexicana	3834000000
Colombia	792000000
BM&F BOVESPA	4671000000
Bolsa de Valores de Lima	522000000
Santiago	1683000000
Buenos Aires	729000000
