US	CP	Date	Rate
USA	CPI	1/1/2007	92.82774
USA	CPI	2/1/2007	93.32441
USA	CPI	3/1/2007	94.17419
USA	CPI	4/1/2007	94.78596
USA	CPI	5/1/2007	95.36517
USA	CPI	6/1/2007	95.54999
USA	CPI	7/1/2007	95.52568
USA	CPI	8/1/2007	95.35049
USA	CPI	9/1/2007	95.61327
USA	CPI	10/1/2007	95.81781
USA	CPI	11/1/2007	96.38693
USA	CPI	12/1/2007	96.32227
USA	CPI	1/1/2008	96.80104
USA	CPI	2/1/2008	97.08217
USA	CPI	3/1/2008	97.92369
USA	CPI	4/1/2008	98.51758
USA	CPI	5/1/2008	99.34718
USA	CPI	6/1/2008	100.3483
USA	CPI	7/1/2008	100.8752
USA	CPI	8/1/2008	100.4726
USA	CPI	9/1/2008	100.3336
USA	CPI	10/1/2008	99.32013
USA	CPI	11/1/2008	97.41786
USA	CPI	12/1/2008	96.41032
USA	CPI	1/1/2009	96.82993
USA	CPI	2/1/2009	97.31146
USA	CPI	3/1/2009	97.5481
USA	CPI	4/1/2009	97.79162
USA	CPI	5/1/2009	98.07411
USA	CPI	6/1/2009	98.91656
USA	CPI	7/1/2009	98.75972
USA	CPI	8/1/2009	98.98122
USA	CPI	9/1/2009	99.04314
USA	CPI	10/1/2009	99.13852
USA	CPI	11/1/2009	99.20869
USA	CPI	12/1/2009	99.03396
USA	CPI	1/1/2010	99.37241
USA	CPI	2/1/2010	99.39717
USA	CPI	3/1/2010	99.80533
USA	CPI	4/1/2010	99.97868
USA	CPI	5/1/2010	100.0562
USA	CPI	6/1/2010	99.9585
USA	CPI	7/1/2010	99.97959
USA	CPI	8/1/2010	100.1176
USA	CPI	9/1/2010	100.1759
USA	CPI	10/1/2010	100.3006
USA	CPI	11/1/2010	100.3428
USA	CPI	12/1/2010	100.5152
USA	CPI	1/1/2011	100.994
